Naziv korisnika;Konto;Klasa;Klasifikacija;Naziv;Iznos (KM)
Bosna i Hercegovina;-;Prihodi;Grupa;Poreski prihodi;701.198.463,14
Bosna i Hercegovina;712000;Prihodi;Podgrupa;Državni doprinosi;12.198.463,14
Bosna i Hercegovina;712100;Prihodi;Sintetički konto;Državni doprinosi;12.198.463,14
Bosna i Hercegovina;712100;Prihodi;Analitički konto;Državni doprinos za korištenje radio frekvencija;12.198.463,14
Bosna i Hercegovina;717000;Prihodi;Podgrupa;Prihodi iz indirektnih poreza;689.000.000,00
Bosna i Hercegovina;717100;Prihodi;Sintetički konto;Prihodi iz indirektnih poreza;689.000.000,00
Bosna i Hercegovina;717100;Prihodi;Analitički konto;Prihodi od indirektnih poreza za finansiranje Institucija BiH;689.000.000,00
Bosna i Hercegovina;-;Prihodi;Grupa;Neporeski prihodi;156.305.511,84
Bosna i Hercegovina;721000;Prihodi;Podgrupa;Prihodi od poduzetničkih aktivnosti i imovine i prihodi od pozitivnih kursnih lista;78.186.601,98
Bosna i Hercegovina;721100;Prihodi;Sintetički konto;Prihodi od nefinansijskih javnih preduzeća i finansijskih javnih institucija;75.225.162,96
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od dividendi i udjela u profitu CB BiH;57.471.827,94
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od sukcesije - odluka visokog predstavnika;17.089.284,11
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od iznajmljivanja ostale materijalne imovine;609.263,40
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihod po osnovu zakupnine - Ministarstvo odbrane;51.187,51
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od iznajmljivanja poslovnih prostora;3.600,00
Bosna i Hercegovina;721200;Prihodi;Sintetički konto;Ostali prihodi od imovine;1.236.969,69
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Kamate na budžetske depozite;756.717,79
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Prihodi od kamate za depozite u banci;436.736,84
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Popust, rabat, ostali prihodi;31.282,71
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Ostali prihodi;11.581,86
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Ostali prihodi od imovine;650,49
Bosna i Hercegovina;721500;Prihodi;Sintetički konto;Prihodi od pozitivnih kursnih razlika;1.703.708,03
Bosna i Hercegovina;721500;Prihodi;Analitički konto;Obračunate kursne razlike;1.703.708,03
Bosna i Hercegovina;721600;Prihodi;Sintetički konto;Prihodi od privatizacije;20.761,30
Bosna i Hercegovina;721600;Prihodi;Analitički konto;Prihodi od tenderske dokumentacije;20.761,30
