Naziv korisnika;Konto;Klasa;Klasifikacija;Naziv;Iznos (KM)
Bosna i Hercegovina;-;Prihodi;Grupa;Poreski prihodi;258.826.678,26
Bosna i Hercegovina;712000;Prihodi;Podgrupa;Državni doprinosi;7.290.678,26
Bosna i Hercegovina;712100;Prihodi;Sintetički konto;Državni doprinosi;7.290.678,26
Bosna i Hercegovina;712100;Prihodi;Analitički konto;Državni doprinos za korištenje radio frekvencija;7.290.678,26
Bosna i Hercegovina;717000;Prihodi;Podgrupa;Prihodi iz indirektnih poreza;251.500.000,00
Bosna i Hercegovina;717100;Prihodi;Sintetički konto;Prihodi iz indirektnih poreza;251.500.000,00
Bosna i Hercegovina;717100;Prihodi;Analitički konto;Prihodi od indirektnih poreza za finansiranje Institucija BiH;251.500.000,00
Bosna i Hercegovina;719000;Prihodi;Podgrupa;Ostali porezi;36.000,00
Bosna i Hercegovina;719100;Prihodi;Sintetički konto;Ostali porezi;36.000,00
Bosna i Hercegovina;-;Prihodi;Grupa;Neporeski prihodi;80.790.950,59
Bosna i Hercegovina;721000;Prihodi;Podgrupa;Prihodi od poduzetničkih aktivnosti i imovine i prihodi od pozitivnih kursnih lista;21.078.667,35
Bosna i Hercegovina;721100;Prihodi;Sintetički konto;Prihodi od nefinansijskih javnih preduzeća i finansijskih javnih institucija;18.415.603,79
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od dividendi i udjela u profitu CB BiH;18.221.017,17
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od iznajmljivanja ostale materijalne imovine;194.586,62
Bosna i Hercegovina;721200;Prihodi;Sintetički konto;Ostali prihodi od imovine;459.105,29
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Kamate na budžetske depozite;399.643,65
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Kamate po osnovu sukcesije;24.208,63
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Prihodi od kamate za depozite u banci;22.478,42
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Ostali prihodi;12.152,77
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Ostali prihodi od finansijske i nematerijalne imovine;348,96
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Ostali prihodi od dividendi;254,18
