Naziv korisnika;Konto;Klasa;Klasifikacija;Naziv;Iznos (KM)
Bosna i Hercegovina;-;Prihodi;Grupa;Poreski prihodi;701.233.753,45
Bosna i Hercegovina;712000;Prihodi;Podgrupa;Državni doprinosi;12.233.753,45
Bosna i Hercegovina;712100;Prihodi;Sintetički konto;Državni doprinosi;12.233.753,45
Bosna i Hercegovina;712100;Prihodi;Analitički konto;Državni doprinos za korištenje radio frekvencija;12.233.753,45
Bosna i Hercegovina;717000;Prihodi;Podgrupa;Prihodi iz indirektnih poreza;689.000.000,00
Bosna i Hercegovina;717100;Prihodi;Sintetički konto;Prihodi iz indirektnih poreza;689.000.000,00
Bosna i Hercegovina;717100;Prihodi;Analitički konto;Prihodi od indirektnih poreza za finansiranje Institucija BiH;689.000.000,00
Bosna i Hercegovina;-;Prihodi;Grupa;Neporeski prihodi;100.658.752,61
Bosna i Hercegovina;721000;Prihodi;Podgrupa;Prihodi od poduzetničkih aktivnosti i imovine i prihodi od pozitivnih kursnih lista;23.565.006,51
Bosna i Hercegovina;721100;Prihodi;Sintetički konto;Prihodi od nefinansijskih javnih preduzeća i finansijskih javnih institucija;20.327.775,91
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od dividendi i udjela u profitu CB BiH;19.907.422,51
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od iznajmljivanja ostale materijalne imovine;416.153,40
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od iznajmljivanja poslovnih prostora;4.200,00
Bosna i Hercegovina;721200;Prihodi;Sintetički konto;Ostali prihodi od imovine;1.940.734,37
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Kamate na budžetske depozite;1.905.510,18
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Popust, rabat, ostali prihodi;25.491,69
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Prihodi od kamate za depozite u banci;8.017,15
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Kamate na sredstva po viđenju;1.715,35
Bosna i Hercegovina;721500;Prihodi;Sintetički konto;Prihodi od pozitivnih kursnih razlika;1.290.565,48
Bosna i Hercegovina;721500;Prihodi;Analitički konto;Obračunate kursne razlike;1.290.565,48
Bosna i Hercegovina;721600;Prihodi;Sintetički konto;Prihodi od privatizacije;5.930,75
Bosna i Hercegovina;721600;Prihodi;Analitički konto;Prihodi od tenderske dokumentacije;5.930,75
Bosna i Hercegovina;722000;Prihodi;Podgrupa;Naknade, takse i prihodi od pružanja javnih usluga;72.490.134,59
Bosna i Hercegovina;722100;Prihodi;Sintetički konto;Administrativne takse;14.062.062,27
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA - Prihodi od koris. brojeva - GSM;3.703.026,75
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA - Prihodi od pr. korist upr. GSM;1.650.000,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Stiker naljepnica;1.387.208,44
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA - Prihodi od pr. koris. fix;1.350.000,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Registarske tablice sa međunarodnom oznakom BiH;1.019.756,49
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA - Prihodi od dozvola za emitovanje;686.225,96
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA - Naknada za korištenje OBK;621.033,88
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA . Naknada za mrezne operatere;571.105,59
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Potvrda o registraciji;511.082,55
