Naziv korisnika;Konto;Klasa;Klasifikacija;Naziv;Iznos (KM)
Bosna i Hercegovina;-;Prihodi;Grupa;Poreski prihodi;573.223.536,17
Bosna i Hercegovina;712000;Prihodi;Podgrupa;Državni doprinosi;7.221.848,11
Bosna i Hercegovina;712100;Prihodi;Sintetički konto;Državni doprinosi;7.221.848,11
Bosna i Hercegovina;712100;Prihodi;Analitički konto;Državni doprinos za korištenje radio frekvencija;7.221.848,11
Bosna i Hercegovina;717000;Prihodi;Podgrupa;Prihodi iz indirektnih poreza;566.000.000,00
Bosna i Hercegovina;717100;Prihodi;Sintetički konto;Prihodi iz indirektnih poreza;566.000.000,00
Bosna i Hercegovina;717100;Prihodi;Analitički konto;Prihodi od indirektnih poreza za finansiranje Institucija BiH;566.000.000,00
Bosna i Hercegovina;719000;Prihodi;Podgrupa;Ostali porezi;1.688,06
Bosna i Hercegovina;719100;Prihodi;Sintetički konto;Ostali porezi;1.688,06
Bosna i Hercegovina;-;Prihodi;Grupa;Neporeski prihodi;85.835.183,94
Bosna i Hercegovina;721000;Prihodi;Podgrupa;Prihodi od poduzetničkih aktivnosti i imovine i prihodi od pozitivnih kursnih lista;23.448.224,04
Bosna i Hercegovina;721100;Prihodi;Sintetički konto;Prihodi od nefinansijskih javnih preduzeća i finansijskih javnih institucija;20.086.555,44
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od dividendi i udjela u profitu CB BiH;19.665.872,49
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od iznajmljivanja ostale materijalne imovine;250.682,95
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od reklamiranja BiH na CNN-u;170.000,00
Bosna i Hercegovina;721200;Prihodi;Sintetički konto;Ostali prihodi od imovine;2.536.838,72
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Kamate na budžetske depozite;2.459.872,32
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Kamate po osnovu sukcesije;40.171,28
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Prihodi od kamate za depozite u banci;30.012,88
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Popust, rabat, ostali prihodi;5.331,83
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Ostali prihodi;567,97
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Kamate na sredstva po viđenju;472,37
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Kamate po osnovu sukcesije;283,70
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Ostali prihodi od imovine;126,37
Bosna i Hercegovina;721500;Prihodi;Sintetički konto;Prihodi od pozitivnih kursnih razlika;808.723,44
Bosna i Hercegovina;721500;Prihodi;Analitički konto;Obračunate kursne razlike;808.723,44
Bosna i Hercegovina;721600;Prihodi;Sintetički konto;Prihodi od privatizacije;16.106,44
Bosna i Hercegovina;721600;Prihodi;Analitički konto;Prihodi od tenderske dokumentacije;16.106,44
Bosna i Hercegovina;722000;Prihodi;Podgrupa;Naknade, takse i prihodi od pružanja javnih usluga;59.669.218,86
Bosna i Hercegovina;722100;Prihodi;Sintetički konto;Administrativne takse;9.568.845,16
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA - Prihodi od koris. brojeva - GSM;2.611.712,40
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA - Prihodi od pr. korist upr. GSM;2.100.000,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA - Prihodi od pr. koris. fix;1.500.169,85
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA . Naknada za mrezne operatere;823.957,32
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA - Prihodi od dozvola za emitovanje;610.826,77
