Naziv korisnika;Konto;Klasa;Klasifikacija;Naziv;Iznos (KM)
Bosna i Hercegovina;-;Prihodi;Grupa;Poreski prihodi;764.703.916,92
Bosna i Hercegovina;712000;Prihodi;Podgrupa;Državni doprinosi;14.703.916,92
Bosna i Hercegovina;712100;Prihodi;Sintetički konto;Državni doprinosi;14.703.916,92
Bosna i Hercegovina;712100;Prihodi;Analitički konto;Državni doprinos za korištenje radio frekvencija;14.703.916,92
Bosna i Hercegovina;717000;Prihodi;Podgrupa;Prihodi iz indirektnih poreza;750.000.000,00
Bosna i Hercegovina;717100;Prihodi;Sintetički konto;Prihodi iz indirektnih poreza;750.000.000,00
Bosna i Hercegovina;717100;Prihodi;Analitički konto;Prihodi od indirektnih poreza za finansiranje Institucija BiH;750.000.000,00
Bosna i Hercegovina;-;Prihodi;Grupa;Neporeski prihodi;106.356.895,07
Bosna i Hercegovina;721000;Prihodi;Podgrupa;Prihodi od poduzetničkih aktivnosti i imovine i prihodi od pozitivnih kursnih lista;30.807.965,80
Bosna i Hercegovina;721100;Prihodi;Sintetički konto;Prihodi od nefinansijskih javnih preduzeća i finansijskih javnih institucija;28.306.697,70
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od dividendi i udjela u profitu CB BiH;27.558.694,07
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od iznajmljivanja ostale materijalne imovine;490.736,80
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od sukcesije;250.866,83
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od iznajmljivanja poslovnih prostora;6.400,00
Bosna i Hercegovina;721200;Prihodi;Sintetički konto;Ostali prihodi od imovine;1.450.563,88
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Kamate na budžetske depozite;1.426.448,39
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Popust, rabat, ostali prihodi;14.084,95
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Prihodi od kamate za depozite u banci;6.905,86
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Ostali prihodi od imovine;2.491,73
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Kamate na sredstva po viđenju;632,95
Bosna i Hercegovina;721500;Prihodi;Sintetički konto;Prihodi od pozitivnih kursnih razlika;1.050.127,78
Bosna i Hercegovina;721500;Prihodi;Analitički konto;Obračunate kursne razlike;1.050.127,78
Bosna i Hercegovina;721600;Prihodi;Sintetički konto;Prihodi od privatizacije;576,44
Bosna i Hercegovina;721600;Prihodi;Analitički konto;Prihodi od tenderske dokumentacije;576,44
Bosna i Hercegovina;722000;Prihodi;Podgrupa;Naknade, takse i prihodi od pružanja javnih usluga;68.287.551,35
Bosna i Hercegovina;722100;Prihodi;Sintetički konto;Administrativne takse;13.878.343,72
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA - Prihodi od koris. brojeva - GSM;4.025.069,80
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA - Prihodi od pr. korist upr. GSM;1.500.000,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Stiker naljepnica;1.409.875,46
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA - Prihodi od pr. koris. fix;1.200.000,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Registarske tablice sa međunarodnom oznakom BiH;859.966,62
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA - Naknada za korištenje OBK;622.988,31
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA . Naknada za mrezne operatere;547.909,32
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Potvrda o registraciji;499.494,82
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA - Prihodi od dozvola za emitovanje;495.146,26
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Naknada za održavanje Dozvole za pružanje fiksn.;465.361,57
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA - Naknada za BB-FT;327.478,42
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA - Prihodi rad. frek. - linkovi;311.034,81
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od dozvola za pružanje usluga na univer.;300.000,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od naknada DCA;239.781,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od iznajmljivanja prostora na graničnim prelazima;196.084,51
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Potvrda o vlasništvu vozila;185.627,03
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Za izgubljene, uništene i nestale tablice za pa.;109.673,40
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA - Administrativne i ostale naknade za dozvo;95.975,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA - Prihod od kablovske distribucije;94.487,83
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Registarske tablice sa međunarodnom oznakom BiH;88.620,51
Bosna i Hercegovina;722100;Prihodi;Analitički konto;CRA - Prihodi internet - servis;77.958,80
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Probne tablice sa međunarodnom oznakom BiH;55.318,16
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Naknada za izdavanje licence, dozvole potvrde o;53.185,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Godišnja naknada za dozvolu za pružanje audio v.;48.442,62
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Naknada za tendersku dokumentaciju;33.432,87
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Registarske tablice za privremeno registrovana vozila;22.280,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Registarske tablice za vozila diplomatskih i ko.;8.420,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Za izgubljene, uništene i nestale tablice za pr.;3.056,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Zakon o slobodi pristupa informacijama;1.675,60
Bosna i Hercegovina;722200;Prihodi;Sintetički konto;Sudske takse;285.418,13
Bosna i Hercegovina;722200;Prihodi;Analitički konto;Taksa pred Sudom BiH - Tarifa 4;117.194,73
Bosna i Hercegovina;722200;Prihodi;Analitički konto;Takse pred Sudom BiH - Tarifa 3;105.231,95
Bosna i Hercegovina;722200;Prihodi;Analitički konto;Takse pred Sudom BiH - Tarifa 1;61.639,95
Bosna i Hercegovina;722200;Prihodi;Analitički konto;Taksa pred Sudom BiH - Tarifa 5;1.351,50
Bosna i Hercegovina;722600;Prihodi;Sintetički konto;Prihodi od pružanja javnih usluga (prihodi od sopstvenih djelatnosti);16.110.244,72
Bosna i Hercegovina;722600;Prihodi;Analitički konto;Konzularne takse;11.659.744,72
Bosna i Hercegovina;722600;Prihodi;Analitički konto;Prihodi BHDCA - Eurocontrol;2.363.781,90
Bosna i Hercegovina;722600;Prihodi;Analitički konto;Prihodi od putnih isprava koje izdaje DKP BiH;2.041.971,06
Bosna i Hercegovina;722600;Prihodi;Analitički konto;MIP DKP - višak DHL-a;42.657,04
Bosna i Hercegovina;722600;Prihodi;Analitički konto;Prihodi od izdavanja izvoda iz matične knjige;2.040,00
Bosna i Hercegovina;722600;Prihodi;Analitički konto;Prihodi od ovjere dokumenata;40,00
Bosna i Hercegovina;722600;Prihodi;Analitički konto;Prihodi od ovjere isprava izdanih od DKP-ova;10,00
Bosna i Hercegovina;722700;Prihodi;Sintetički konto;Neplanirane uplate-prihodi;11.407.142,55
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od naknada za izdavanje ,obnovu i...;4.528.404,50
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od kontrole kvaliteta lijeka;2.493.952,85
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od dozvola za obavljanje međunarodnog.;1.223.845,00
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od zahtjeva za prestanak državljanstva;1.161.633,59
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od izdavanja saglasnosti, odnosno dozvole;818.174,00
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od upisa , izmjene i obnove upisa medici.;369.485,00
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Naknada za postupak prijave i izdavanje dozvole;218.926,65
