Naziv korisnika;Konto;Klasa;Klasifikacija;Naziv;Iznos (KM)
Bosna i Hercegovina;722600;Prihodi;Analitički konto;Prihodi od putnih isprava koje izdaje DKP BiH;3.154.091,50
Bosna i Hercegovina;722600;Prihodi;Analitički konto;Prihodi od ovjere dokumenata;6.530,00
Bosna i Hercegovina;722600;Prihodi;Analitički konto;Prihodi od izdavanja izvoda iz matične knjige;2.571,00
Bosna i Hercegovina;722600;Prihodi;Analitički konto;Prihodi od ovjere isprava izdanih od DKP-ova;180,00
Bosna i Hercegovina;722700;Prihodi;Sintetički konto;Neplanirane uplate-prihodi;5.071.436,75
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od dozvola za obavljanje međunarodnog.;3.021.851,49
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od zahtjeva za prestanak državljanstva;1.526.244,00
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od izdavanja dozvola u međunarodnim ce.;289.390,55
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od dozvola za obavljanje muđunarodnog.;86.480,10
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od ovjere potpisa i pečata u MCPK;76.073,00
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihod od medj. dozvola za prevoz putnika;24.138,21
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od registracije fondacija;13.530,00
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od ovjere reda vožnje za međuentitetsk.;12.935,00
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Naknada za upis u registar vjerskih zajednica;7.080,00
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od zahtjeva za izdavanje službenog pasoša;4.310,10
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od izdavanja dozvola za obavljanje naizm.;2.600,00
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihod od usklađivanja redova vožnje;2.459,30
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od odobravanja stranom pravnom ili fizičk.;2.030,00
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od zahtjeva za izdavanje putne isprave;1.880,00
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od odobravanja stranom pravnom ili fizičkom...;220,00
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od rješenja kojim se odobrava prvi upis;150,00
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od dozvola stranim pravnim i fizičkim;30,00
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od rješenja kojim se stranom fizičkom i ..;20,00
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od dozvola po osnovu izvanrednog prevoz;5,00
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Prihodi od rješenja o upisu i brisanju iz registra;5,00
Bosna i Hercegovina;722700;Prihodi;Analitički konto;Takse - Tarifni broj 102;5,00
Bosna i Hercegovina;722800;Prihodi;Sintetički konto;Prihodi od pružanja javnih usluga MVT;15.311.622,23
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 86;4.311.716,58
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Naknada troškova štampanja i kupovine poreskih;3.688.091,23
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 41;1.336.825,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 84;1.208.556,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 87;1.034.768,50
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Prihodi od izdavanja rješenja o nepost. vet-zdrav. smetnj.;917.505,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 83;843.673,12
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 96;748.688,01
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Veterinarsko-zdravstvena svjedodžba za proizvod;155.860,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Veterinarsko-zdravstvena svjedodžba za ostale c.;129.555,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Prihodi od izdavanja rješenja o registraciji st.;121.973,73
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 88;116.046,35
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Prihodi od naknada za polaganje stručnog upravn.;106.325,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 106 - Konkurencijsko vijeće;85.507,37
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 107 - Konkurencijsko vijeće;84.501,52
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Prihodi od izdavanja uvjerenja o porijeklu proi.;71.310,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 53;56.261,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse  - Tarifni broj 105;54.823,60
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Naknada troškova polaganja pravosudnog ispita;34.010,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 50;27.841,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse  - Tarifni broj 43;25.576,50
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 95;24.220,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 85;23.562,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 54;13.240,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Naknada troškova za pružene usluge davanja podataka;10.622,20
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 76;9.300,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 44;8.070,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Veterinarsko-zdravstvena svjedodžba za sirovine;5.350,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Naknada troškova po fitosanitarnim zahtjevima;5.151,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 80;4.641,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Veterinarsko-zdravstvena svjedodžba za pse i mačke;4.390,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Naknada tros. za usluge i publ. Agencije za statistiku;4.189,02
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 68;3.955,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 91;3.850,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse  - Tarifni broj 108 - Konkurencijsko vijeće;3.000,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 94;2.720,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 77;2.640,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 57;2.325,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 81;2.290,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Svjedodžba službenog veterinara za stočnu hranu;2.090,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 42;1.841,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 90;1.515,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 73;1.514,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Veterinarsko-zdravstvena svjedodžba BA-UVBH-VZ;1.330,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 93;1.305,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 58;1.220,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 55;1.170,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 40;1.158,50
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Svjedodžba o porijeklu i zdravlju domaće i divlj.;1.010,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 69;825,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 67;450,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 74;425,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 64;400,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Prihodi od izdavanja rješenja za carinjenje robe;365,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 66;340,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 71;320,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 59;280,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 92;220,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 60;215,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 63;170,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 48;145,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 51;119,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 45;100,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 82;75,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 72;35,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 75;25,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 78;15,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 49;10,00
Bosna i Hercegovina;722800;Prihodi;Analitički konto;Takse - Tarifni broj 70;5,00
Bosna i Hercegovina;722900;Prihodi;Sintetički konto;Ostali prihodi od pružanja javnih usluga;15.215.548,02
Bosna i Hercegovina;722900;Prihodi;Analitički konto;Prihodi od knjižica za pasoše;7.943.550,95
Bosna i Hercegovina;722900;Prihodi;Analitički konto;Uplata za vozačke dozvole;4.596.529,17
Bosna i Hercegovina;722900;Prihodi;Analitički konto;Uplata za ličnu kartu;2.056.282,78
Bosna i Hercegovina;722900;Prihodi;Analitički konto;Prihodi od Registra zaloga;281.753,00
Bosna i Hercegovina;722900;Prihodi;Analitički konto;Prihodi od rješenja za koja nije propisana posebna;128.573,00
Bosna i Hercegovina;722900;Prihodi;Analitički konto;Prihodi od zahtjeva, molbi, prijedloga prijava;103.716,00
Bosna i Hercegovina;722900;Prihodi;Analitički konto;Prihodi - viza-stiker za stranca;61.690,52
Bosna i Hercegovina;722900;Prihodi;Analitički konto;Prihodi - lična karta za stranca;13.200,00
Bosna i Hercegovina;722900;Prihodi;Analitički konto;Takse - Tarifni broj 97;8.750,00
Bosna i Hercegovina;722900;Prihodi;Analitički konto;Prihodi od izdatih uvjerenja;7.050,00
Bosna i Hercegovina;722900;Prihodi;Analitički konto;Prihodi od ulaznih viza - DGS;3.724,60
Bosna i Hercegovina;722900;Prihodi;Analitički konto;Prihodi od taksi na podneske kojim se traži mis.;3.100,00
Bosna i Hercegovina;722900;Prihodi;Analitički konto;Prihodi od žalbi protiv rješenja;2.394,00
Bosna i Hercegovina;722900;Prihodi;Analitički konto;Uplata za saobraćajnu dozvolu;1.923,00
Bosna i Hercegovina;722900;Prihodi;Analitički konto;Takse - Tarifni broj 99;1.900,00
Bosna i Hercegovina;722900;Prihodi;Analitički konto;Takse - Tarifni broj 98;740,00
Bosna i Hercegovina;722900;Prihodi;Analitički konto;Takse koje se uplaćuju za upis u Registar;341,00
Bosna i Hercegovina;722900;Prihodi;Analitički konto;Prihodi - putni list za stranca;330,00
Bosna i Hercegovina;723000;Prihodi;Podgrupa;Novčane kazne (neporeske prirode);4.026.613,81
Bosna i Hercegovina;723100;Prihodi;Sintetički konto;Novčane kazne;4.026.613,81
Bosna i Hercegovina;723100;Prihodi;Analitički konto;Novčane kazne za prekršaje;1.813.744,08
Bosna i Hercegovina;723100;Prihodi;Analitički konto;Prihod od kazni po odredbama Zakona o konkurenc.;1.049.998,53
Bosna i Hercegovina;723100;Prihodi;Analitički konto;Prihodi od kazni u kaznenom postupku;896.246,75
Bosna i Hercegovina;723100;Prihodi;Analitički konto;Prihodi od trajno oduzetih predmeta - Sud BiH;155.371,60
Bosna i Hercegovina;723100;Prihodi;Analitički konto;CRA - Prihodi od kazni za prekršaje;93.534,00
Bosna i Hercegovina;723100;Prihodi;Analitički konto;Sredstva pribavljena prodajom oduzetih predmeta;14.980,00
Bosna i Hercegovina;723100;Prihodi;Analitički konto;Ostali prihodi;2.738,85
Bosna i Hercegovina;-;Prihodi;Grupa;Transferi i donacije;40.788.446,74
Bosna i Hercegovina;731000;Prihodi;Podgrupa;Tekuće potpore iz inostranstva;19.401.867,72
Bosna i Hercegovina;731100;Prihodi;Sintetički konto;Tekuće potpore iz inostranstva;19.401.867,72
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija Grčke;7.681.075,28
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija Norveške za Visoko sudsko i tuž. vijeće;2.123.564,50
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija Velike Britanije OSA-OBA;1.717.023,16
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija Evropske komisije za Visoko sudsko i tuž. vijeće;1.585.771,51
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija Norveške za Parlamentarnu skupštinu;962.121,01
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija UNHCR 1 (veliki projekat);840.810,42
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija za Institut za traženje nestalih;540.000,00
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija Vlade Norveške OSA-OBA;523.076,95
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija VSTV grupa donatora;478.004,85
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija za MIP;416.183,94
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija fond za revit. pred. ESFR;375.482,45
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija Ministarstvu odbrane prijateljskih zemalja;332.393,31
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija UNHCR Ministarstvu sigurnosti;320.000,00
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija MLJP - jačanje lokalne samouprave;237.460,02
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija SAD-a za Ministarstvo odbrane;186.625,30
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija Irske VSTV;168.172,04
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Nacionalni spomenik Blagaj;150.598,91
Bosna i Hercegovina;731100;Prihodi;Analitički konto;Donacija švedske agencije SIDA;146.830,20
