Naziv korisnika;Konto;Klasa;Klasifikacija;Naziv;Iznos (KM)
Bosna i Hercegovina;-;Prihodi;Grupa;Poreski prihodi;766.219.214,71
Bosna i Hercegovina;712000;Prihodi;Podgrupa;Državni doprinosi;16.219.214,71
Bosna i Hercegovina;712100;Prihodi;Sintetički konto;Državni doprinosi;16.219.214,71
Bosna i Hercegovina;712100;Prihodi;Analitički konto;Državni doprinos za korištenje radio frekvencija;16.219.214,71
Bosna i Hercegovina;717000;Prihodi;Podgrupa;Prihodi iz indirektnih poreza;750.000.000,00
Bosna i Hercegovina;717100;Prihodi;Sintetički konto;Prihodi iz indirektnih poreza;750.000.000,00
Bosna i Hercegovina;717100;Prihodi;Analitički konto;Prihodi od indirektnih poreza za finansiranje Institucija BiH;750.000.000,00
Bosna i Hercegovina;-;Prihodi;Grupa;Neporeski prihodi;138.152.071,38
Bosna i Hercegovina;721000;Prihodi;Podgrupa;Prihodi od poduzetničkih aktivnosti i imovine i prihodi od pozitivnih kursnih lista;35.989.320,96
Bosna i Hercegovina;721100;Prihodi;Sintetički konto;Prihodi od nefinansijskih javnih preduzeća i finansijskih javnih institucija;34.130.248,51
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od dividendi i udjela u profitu CB BiH;20.480.421,77
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Ostali prihodi od nefinansijskih javnih preduzeća;12.800.000,00
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od iznajmljivanja ostale materijalne imovine;663.821,07
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od sukcesije;181.205,67
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od iznajmljivanja poslovnih prostora;4.800,00
Bosna i Hercegovina;721200;Prihodi;Sintetički konto;Ostali prihodi od imovine;1.010.449,47
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Kamate na budžetske depozite;753.020,74
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Ostali prihodi;140.164,50
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Ostali prihodi od imovine;112.230,00
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Popust, rabat, ostali prihodi;4.930,16
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Kamate na sredstva po viđenju;88,95
