Naziv korisnika;Konto;Klasa;Klasifikacija;Naziv;Iznos (KM)
Bosna i Hercegovina;-;Prihodi;Grupa;Poreski prihodi;750.000.000,00
Bosna i Hercegovina;717000;Prihodi;Podgrupa;Prihodi iz indirektnih poreza;750.000.000,00
Bosna i Hercegovina;717100;Prihodi;Sintetički konto;Prihodi iz indirektnih poreza;750.000.000,00
Bosna i Hercegovina;717100;Prihodi;Analitički konto;Prihodi od indirektnih poreza za finansiranje Institucija BiH;750.000.000,00
Bosna i Hercegovina;-;Prihodi;Grupa;Neporeski prihodi;195.418.844,40
Bosna i Hercegovina;721000;Prihodi;Podgrupa;Prihodi od poduzetničkih aktivnosti i imovine i prihodi od pozitivnih kursnih lista;39.037.084,55
Bosna i Hercegovina;721100;Prihodi;Sintetički konto;Prihodi od nefinansijskih javnih preduzeća i finansijskih javnih institucija;36.376.593,40
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od dividendi i udjela u profitu CB BiH;18.051.559,90
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od iznajmljivanja GSM mreža (prihodi od UMTS dozvola);17.602.470,00
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od iznajmljivanja ostale materijalne imovine;496.397,82
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od iznajmljivanja poslovnih prostora na graničnim prelazima;221.365,66
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od iznajmljivanja poslovnih prostora;4.800,00
Bosna i Hercegovina;721200;Prihodi;Sintetički konto;Ostali prihodi od imovine;1.804.857,96
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Prihodi od kamata na investirana-oročena sredstva;1.723.744,73
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Prihodi od kamate za depozite u banci;76.493,04
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Ostali prihodi od finansijske i nematerijalne imovine;4.620,19
Bosna i Hercegovina;721500;Prihodi;Sintetički konto;Prihodi od pozitivnih kursnih razlika;855.633,19
Bosna i Hercegovina;721500;Prihodi;Analitički konto;Prihodi od pozitivnih kursnih razlika;855.633,19
Bosna i Hercegovina;722000;Prihodi;Podgrupa;Naknade, takse i prihodi od pružanja javnih usluga;150.954.405,29
Bosna i Hercegovina;722100;Prihodi;Sintetički konto;Administrativne takse;13.295.031,40
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od putnih isprava koje izdaje DKP BiH - Tarifni broj 30;4.062.526,63
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od zahtjeva za prestanak državljanstva - Tarifni broj 25;2.003.176,69
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od zahtjeva, molbi, prijedloga, prijava i drugih podnesaka - Tarifni broj 1;1.509.275,14
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od odobrenja privremenog i stalnog boravka stranca - Tarifni broj 106;1.384.171,10
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od dozvola za obavljanje međunarodnog cestovnog prevoza stvari;1.055.766,70
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od viza koje izdaje DKP BiH - Tarifni broj 31;1.038.008,90
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od izjava za odricanje od državljanstva BiH - Tarifni broj 38;554.647,01
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od rješenja za koje nije propisana posebna naknada - Tarifni brojj 3;338.014,57
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od uvjerenja, potvrde izvoda iz matičnih knjiga ili sprovodnica za prenos umrlog lica koje izdaje DKP BiH - Tarifni broj 39;247.559,97
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od izdavanja dozvola u međunarodnom cestovnom transportu - Tarifni broj 10;192.399,19
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od ovjera potpisa na isprave - Tarifni broj 34;138.742,64
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 105;132.446,22
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse  - Tarifni broj 43;100.535,41
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od ovjere potpisa i pečata - Tarifni broj 5;74.258,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od izdatih uvjerenja - Tarifni broj 4;49.358,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 56;47.082,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 53;42.902,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od ovjera izjava sačinjenih od strane DKP BiH - Tarifni broj 35;42.388,84
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od lične karte, putnog lista i vize za stranca - Tarifni broj 106;41.585,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od  dozvola za obavljanje međunarodnog vanlinijskog prevoza putnika u cestovnom transportu;26.460,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od izdavanja dozvola za obavljanje naizmjeničnih vožnji u vanlinijskom međunarodnom transportu;25.330,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi za molbe i druge podneske DKP BiH - Tarifni broj 29;21.409,64
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 76;20.313,50
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 73;17.775,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 47;13.710,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od prepisa ili kopija načinjenih u DKP BiH sa ovjerom - Tarifni broj 33;13.509,27
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 75;10.850,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od sastavljanja oporuka u DKP BiH - Tarifni broj 32;10.669,60
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 57;10.015,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 77;9.587,40
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od žalbi protiv rješenja - Tarifni broj 2;7.272,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od ovjere potpisa na zahtjevu za otpust iz državljanstva BiH - Tarifni broj 37;6.392,76
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od ovjere reda vožnje za međuentitetske autobuske linije - Tarifni broj 14;5.255,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 41;3.269,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 44;3.090,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od izdavanja rješenja o registraciji stranih ulaganja - Tarifnim broj 26;2.940,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 54;2.757,86
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 50;2.732,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od izdavanja rješenja o porijeklu proizvoda - Tarifni broj 28;2.700,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od izdavanja izvoda iz matične knjige vjenčanih od strane MVP - Tarifni broj 8;2.326,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od zahtjeva za izdavanje službenog pasoša  - Tarifni broj 24;2.290,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 63;2.170,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od taksi na podneske kojim se traži mišljenje;1.474,32
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 104;1.380,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 72;1.150,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 68;1.070,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 55;1.050,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 58;1.030,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 81;990,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 74;915,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 61;900,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 49;865,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od zahtjeva za izdavanje putne isprave MCP - Tarifni broj 23;850,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 42;803,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 67;775,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 48;745,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od rješenja koji se stranom fizičkom i pravnom licu odobrava obavljanje unutrašnjeg prevoza stvari u cestovnom transportu;613,04
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 60;400,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 51;320,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 64;300,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 66;180,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 69;180,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 100;180,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 59;145,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 40;135,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 101;120,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 102;120,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 45;110,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od dozvola po osnovu vanrednog prevoza stvari u međunarodnom cestovnom transportu;105,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 70;100,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 62;85,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od ovjere isprava izdanih od DKP-ova - Tarifni broj 6;83,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Prihodi od ovjere dokumenata izdanih od strane DKP BiH - Tarifni broj 7;60,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 52;50,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 65;40,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 46;25,00
Bosna i Hercegovina;722100;Prihodi;Analitički konto;Takse - Tarifni broj 80;15,00
Bosna i Hercegovina;722300;Prihodi;Sintetički konto;Sudske takse;350.218,57
Bosna i Hercegovina;722300;Prihodi;Analitički konto;Takse pred Sudom BiH - Tarifa 1;134.841,77
Bosna i Hercegovina;722300;Prihodi;Analitički konto;Takse pred Sudom BiH - Tarifa 3;131.320,00
Bosna i Hercegovina;722300;Prihodi;Analitički konto;Taksa pred Sudom BiH - Tarifa 4;82.840,80
Bosna i Hercegovina;722300;Prihodi;Analitički konto;Taksa pred Sudom BiH - Tarifa 5;1.211,00
Bosna i Hercegovina;722300;Prihodi;Analitički konto;Takse pred Sudom BiH - Tarifa 2;5,00
Bosna i Hercegovina;722500;Prihodi;Sintetički konto;Posebne naknade i takse;55.022.102,70
Bosna i Hercegovina;722500;Prihodi;Analitički konto;Naknada za korištenje radiofrekventnog spektra;14.736.681,40
